Activity_Period,RegionName,Passenger_Count
201103,US,2444460
201712,Middle East,39057
201005,Australia / Oceania,32569
201606,US,3745243
201004,Mexico,56951
201007,Central America,13027
201411,Canada,85101
201807,US,4239662
201004,Middle East,17586
201104,Asia,303127
201303,Canada,84485
201810,Europe,360494
201712,Mexico,141209
201011,Central America,8259
201704,Canada,111540
201609,Canada,153529
201702,Europe,185869
201012,Canada,94473
201506,Central America,11424
200512,Asia,321800
201610,Asia,401914
200511,Asia,303763
201107,South America,6118
201408,Europe,312366
201709,Australia / Oceania,50630
201710,Australia / Oceania,48671
200704,Europe,194379
201208,Asia,382113
201009,South America,5411
201907,Australia / Oceania,79254
201802,Europe,191213
200911,Europe,135746
201808,Canada,217179
201010,South America,6253
201109,US,2781154
201809,Asia,423991
200711,Mexico,58064
201001,Canada,70331
200702,Asia,297165
200912,Middle East,18203
201003,US,2432351
201412,Europe,185574
200810,Canada,95849
201111,Middle East,18680
201201,Australia / Oceania,39767
200812,Asia,327894
200912,Mexico,60129
200707,Mexico,59768
201111,Mexico,57714
201306,Central America,10855
200705,Mexico,48374
200612,Central America,10776
201312,Europe,175733
201505,Australia / Oceania,29417
201705,Asia,452429
201405,Europe,279042
201406,Middle East,20248
201008,South America,6064
201406,Mexico,98399
201503,Australia / Oceania,32929
201311,Australia / Oceania,34645
201102,Central America,8553
201302,Australia / Oceania,32693
201811,Canada,109978
200708,Canada,144605
201212,Europe,154052
200910,Canada,93526
200608,Europe,208450
201106,US,2916035
201404,US,3074054
200609,Mexico,34110
200801,Mexico,57025
200802,Central America,7264
201504,Europe,248319
200712,Europe,178367
201608,Canada,185552
201711,Canada,96764
201804,Canada,119985
201202,Middle East,18705
201901,Asia,520561
201903,Central America,29543
201202,Mexico,63357
200905,Asia,293710
200605,Europe,196788
201301,Central America,12554
201203,Central America,10723
200907,Europe,227832
201207,Asia,373643
201906,Mexico,127620
201112,Canada,82140
201607,Asia,440901
201410,Australia / Oceania,31382
201309,US,2921352
201906,Middle East,50729
201110,Europe,228498
200610,Europe,190369
201202,South America,4926
201702,Australia / Oceania,51368
201205,Central America,10047
201304,Central America,10060
201905,US,3665783
200804,Central America,7399
201709,Europe,386100
201408,Australia / Oceania,31090
201502,Asia,323674
201908,Asia,530348
200909,Canada,116432
201105,Canada,115631
201211,Canada,74381
200803,US,2343637
201005,Europe,196431
201611,Central America,22701
200809,Mexico,33772
201810,Australia / Oceania,61399
200509,US,2067923
201008,Mexico,52848
201412,Australia / Oceania,36877
200811,Canada,71958
201201,Europe,151744
201707,Asia,495448
201204,Canada,83736
201507,Asia,398966
200604,Canada,90783
201008,Middle East,18132
201605,Central America,18682
201907,Europe,472325
201710,Europe,322868
201703,Asia,408009
200704,Australia / Oceania,40548
201006,Asia,369243
200710,US,2369556
200911,Australia / Oceania,38231
201802,Australia / Oceania,58219
201212,Australia / Oceania,39139
201009,Middle East,16002
200903,Asia,291185
201010,Mexico,29751
201302,Europe,127641
201402,US,2407604
200904,Central America,7701
201010,Middle East,16145
201803,Canada,119363
200608,Australia / Oceania,42309
200902,Central America,7516
201009,Mexico,27137
201904,US,3488572
201111,South America,4243
201403,Asia,338404
200606,Mexico,57997
201909,US,3192185
201405,Australia / Oceania,32950
201312,Australia / Oceania,39967
201612,Asia,434582
200603,Central America,8831
201505,Europe,301502
201511,US,3178790
201706,Central America,26800
200601,Central America,11558
200808,Canada,141579
201311,Europe,167612
201902,Canada,110540
200906,Canada,110666
201503,Europe,203643
201410,Europe,262656
200807,Mexico,59938
200907,Australia / Oceania,47103
201110,Australia / Oceania,32554
200701,Mexico,55971
201206,Asia,379766
200610,Australia / Oceania,37220
201307,US,3219791
201508,Central America,14732
201801,Central America,28894
200611,Central America,8051
201504,Australia / Oceania,28856
201601,US,2832614
200712,Australia / Oceania,49629
201107,Mexico,59313
201509,Mexico,54562
201107,Middle East,19292
200605,Australia / Oceania,30593
201509,Middle East,31315
201006,Middle East,19317
201703,Mexico,108501
201108,Europe,258362
201001,US,2129669
201006,Mexico,60798
201703,Middle East,37888
201401,Australia / Oceania,40257
201512,Europe,210189
200810,US,2410081
200607,Australia / Oceania,50203
201003,Canada,91319
201501,Europe,184133
201008,Asia,371750
201308,Australia / Oceania,37433
201109,Canada,123372
201707,Mexico,151842
201507,Middle East,43092
201808,US,4129456
201707,Middle East,45549
201507,Mexico,100403
200706,Europe,211872
200908,Australia / Oceania,40807
201704,US,3362995
200508,Europe,218223
200809,Asia,308167
200901,Europe,152819
201012,US,2475223
201207,South America,5176
201604,Central America,16887
201609,US,3463521
201502,Middle East,33802
201908,Middle East,52604
201303,US,2860027
200709,Central America,9044
201606,Canada,166061
201103,Canada,96866
201502,Mexico,72445
201908,Mexico,111817
201209,Australia / Oceania,34955
201411,US,2896972
201807,Canada,215255
201510,Central America,15779
201309,Canada,131667
200806,Europe,223351
201107,Asia,364243
201509,Asia,344843
201112,US,2721962
201104,South America,5658
200807,Asia,389974
201206,Middle East,19747
200701,Asia,344105
201206,Mexico,77765
201106,Canada,126419
201404,Canada,96091
201608,US,3873557
201711,US,3593895
201804,US,3630813
201101,Central America,11126
201403,Mexico,91103
200606,Asia,360627
201612,Mexico,130661
200910,US,2559254
201612,Middle East,50316
201603,Europe,234650
201403,Middle East,19898
200708,US,2579979
201811,US,3418372
201002,Central America,7168
201805,Central America,31551
200602,Australia / Oceania,28013
200507,Central America,13355
201812,Australia / Oceania,88103
200903,Mexico,57873
201010,Asia,343620
201409,Europe,285629
200510,Europe,195139
200903,Middle East,6057
201407,Australia / Oceania,34216
201009,Asia,332990
201208,South America,5126
